Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
01-2015,CHAMPIÑONES+O.SETAS,507.74,1861.22,3.67,0.48,HIPERMERCADOS,2015,1
01-2015,LECHUGA/ESC./ENDIVIA,1023.02,3334.37,3.26,8.81,HIPERMERCADOS,2015,1
01-2015,ESPARRAGOS,66.81,395.81,5.92,0.72,HIPERMERCADOS,2015,1
01-2015,VERDURAS DE HOJA,224.09,740.91,3.31,2.17,HIPERMERCADOS,2015,1
01-2015,BERENJENAS,392.14,675.9,1.72,2.93,HIPERMERCADOS,2015,1
01-2015,ZANAHORIAS,1585.0,1289.22,0.81,8.37,HIPERMERCADOS,2015,1
01-2015,CALABACINES,1373.02,2501.75,1.82,6.03,HIPERMERCADOS,2015,1
01-2015,OTR.HORTALIZAS/VERD.,3289.56,7639.16,2.32,15.06,HIPERMERCADOS,2015,1
01-2015,VERD./HORT. IV GAMA,1078.94,4640.85,0.43,0.09,HIPERMERCADOS,2015,1
01-2015,VERD./HORT. ECOLOGIC,318.68,580.9,1.82,2.11,HIPERMERCADOS,2015,1
02-2015,TOTAL PATATAS,11142.77,9241.0,0.83,14.64,HIPERMERCADOS,2015,2
02-2015,PATATAS FRESCAS,6098.66,3704.74,0.61,7.15,HIPERMERCADOS,2015,2
02-2015,PATATAS CONGELADAS,514.91,620.55,1.21,1.73,HIPERMERCADOS,2015,2
02-2015,PATATAS PROCESADAS,905.84,4915.71,5.43,9.35,HIPERMERCADOS,2015,2
02-2015,T.HORTALIZAS FRESCAS,15423.86,28945.85,1.88,25.25,HIPERMERCADOS,2015,2
02-2015,TOMATES,2820.45,4666.01,1.65,11.35,HIPERMERCADOS,2015,2
02-2015,CEBOLLAS,2576.7,2472.84,0.96,8.85,HIPERMERCADOS,2015,2
02-2015,AJOS,190.83,901.16,4.72,2.91,HIPERMERCADOS,2015,2
02-2015,COLES,621.51,651.41,1.05,2.16,HIPERMERCADOS,2015,2
02-2015,PEPINOS,370.29,558.18,1.51,2.51,HIPERMERCADOS,2015,2
02-2015,JUDIAS VERDES,291.92,955.99,3.27,0.23,HIPERMERCADOS,2015,2
02-2015,PIMIENTOS,1376.15,2594.17,1.89,9.05,HIPERMERCADOS,2015,2
02-2015,CHAMPIÑONES+O.SETAS,428.62,1585.2,0.37,4.42,HIPERMERCADOS,2015,2
02-2015,LECHUGA/ESC./ENDIVIA,923.42,2963.98,3.21,8.12,HIPERMERCADOS,2015,2
02-2015,ESPARRAGOS,70.45,342.89,4.87,0.07,HIPERMERCADOS,2015,2
02-2015,VERDURAS DE HOJA,210.36,745.79,3.55,2.33,HIPERMERCADOS,2015,2
02-2015,BERENJENAS,345.58,628.75,1.82,2.72,HIPERMERCADOS,2015,2
02-2015,ZANAHORIAS,1241.38,925.25,0.75,6.37,HIPERMERCADOS,2015,2
02-2015,CALABACINES,833.37,2002.27,0.24,4.81,HIPERMERCADOS,2015,2
